20-10-4 18:55:45.5|Info|MigrationLogger|*** Migrating data source=/config/logs.db;cache size=-10000;datetimekind=Utc;journal mode=Wal;pooling=True;version=3 ***
20-10-4 18:55:45.5|Info|MigrationLogger|*** VersionMigration migrating ***
20-10-4 18:55:45.5|Info|MigrationLogger|*** VersionUniqueMigration migrating ***
20-10-4 18:55:45.6|Info|MigrationLogger|*** VersionDescriptionMigration migrating ***
20-10-4 18:55:45.6|Info|MigrationLogger|*** 1: InitialSetup migrating ***
20-10-4 18:55:45.6|Info|InitialSetup|Starting migration to 1
20-10-4 18:55:45.6|Info|MigrationLogger|*** 2: remove_tvrage_imdb_unique_constraint migrating ***
20-10-4 18:55:45.6|Info|remove_tvrage_imdb_unique_constraint|Starting migration to 2
20-10-4 18:55:45.6|Info|MigrationLogger|*** 3: remove_renamed_scene_mapping_columns migrating ***
20-10-4 18:55:45.6|Info|remove_renamed_scene_mapping_columns|Starting migration to 3
20-10-4 18:55:45.6|Info|MigrationLogger|*** 4: updated_history migrating ***
20-10-4 18:55:45.6|Info|updated_history|Starting migration to 4
20-10-4 18:55:45.6|Info|MigrationLogger|*** 5: added_eventtype_to_history migrating ***
20-10-4 18:55:45.6|Info|added_eventtype_to_history|Starting migration to 5
20-10-4 18:55:45.6|Info|MigrationLogger|*** 6: add_index_to_log_time migrating ***
20-10-4 18:55:45.6|Info|add_index_to_log_time|Starting migration to 6
20-10-4 18:55:45.6|Info|MigrationLogger|*** 7: add_renameEpisodes_to_naming migrating ***
20-10-4 18:55:45.6|Info|add_renameEpisodes_to_naming|Starting migration to 7
20-10-4 18:55:45.6|Info|MigrationLogger|*** 8: remove_backlog migrating ***
20-10-4 18:55:45.6|Info|remove_backlog|Starting migration to 8
20-10-4 18:55:45.6|Info|MigrationLogger|*** 9: fix_rename_episodes migrating ***
20-10-4 18:55:45.6|Info|fix_rename_episodes|Starting migration to 9
20-10-4 18:55:45.6|Info|MigrationLogger|*** 10: add_monitored migrating ***
